                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2855,                 2.2714,                 2.2789,                0.48421,                0.58023,                0.52947,                0.29389,                 1.9181,                 2.3911,                 1.9564,             0.00084162,             0.00084162,             0.00084162
                     35,                   2.25,                  2.192,                 2.2154,                0.59068,                0.49988,                0.53703,                0.33264,                 1.9548,                  1.938,                 1.9775,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.2613,                 2.2327,                 2.3189,                0.48556,                 0.5844,                 0.5638,                0.29077,                 1.9889,                 1.6719,                 2.0264,             0.00081688,             0.00081688,             0.00081688
                     37,                  2.205,                 2.1161,                 2.1317,                 0.5505,                0.53566,                0.54666,                0.26163,                 2.0813,                 1.6869,                 2.1159,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.1599,                  2.001,                 2.1713,                0.56122,                 0.5063,                0.53189,                0.28018,                  2.017,                 1.6474,                 2.0925,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.2217,                  2.065,                 2.1575,                0.70108,                0.47073,                0.58773,                0.32633,                 1.8908,                 1.5449,                 1.9899,             0.00077975,             0.00077975,             0.00077975
                     40,                 2.1348,                 2.0074,                 2.1286,                0.67499,                0.49154,                0.59749,                0.33548,                 1.8728,                 1.5286,                 1.9571,             0.00076738,             0.00076738,             0.00076738
                     41,                   2.14,                 1.9365,                 2.1513,                0.59473,                0.58552,                0.64801,                0.40065,                 1.7831,                 1.4802,                 1.8818,               0.000755,               0.000755,               0.000755
                     42,                 2.1657,                   1.92,                 2.1047,                0.61378,                0.61907,                0.66566,                0.42664,                 1.7171,                 1.5318,                  1.826,             0.00074263,             0.00074263,             0.00074263
                     43,                    2.1,                 1.9223,                 2.1206,                0.70327,                0.55519,                0.68132,                0.42163,                 1.7202,                 1.4644,                 1.8133,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.0347,                 1.8848,                 2.0032,                 0.6864,                0.60787,                0.67071,                0.41406,                 1.6885,                 1.4433,                 1.8039,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.9999,                 1.8039,                 1.9933,                0.67995,                0.60457,                0.66025,                0.39389,                 1.7471,                  1.421,                 1.8316,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.0785,                 1.8408,                 2.0705,                0.50515,                0.63289,                0.65519,                0.39167,                 1.8165,                 1.5427,                 1.8465,             0.00069313,             0.00069313,             0.00069313
                     47,                 2.0912,                 1.8148,                 2.0116,                0.67318,                0.46045,                0.64776,                0.37169,                 1.8139,                 1.4838,                 1.8617,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.9722,                  1.827,                 1.9902,                0.67289,                0.56287,                0.67332,                0.42276,                 1.7566,                 1.3587,                 1.8552,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.1145,                  1.842,                  1.999,                0.45883,                0.68775,                0.67437,                0.39105,                 1.7303,                 1.6302,                 1.8645,               0.000656,               0.000656,               0.000656
                     50,                 1.9745,                 1.7815,                  1.961,                0.53037,                0.65697,                0.68007,                0.43784,                 1.6693,                 1.5051,                 1.8003,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.9923,                  1.712,                 1.9348,                0.65797,                0.64535,                0.69125,                0.44889,                 1.6253,                 1.3291,                 1.7532,             0.00063125,             0.00063125,             0.00063125
                     52,                  1.964,                 1.7657,                 1.9971,                0.59286,                0.65513,                0.69379,                0.44267,                 1.6444,                 1.2869,                 1.7381,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.8859,                 1.6923,                 1.9404,                0.55134,                0.64088,                0.67559,                0.42248,                  1.646,                 1.2592,                  1.753,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.9285,                 1.6486,                 1.9573,                 0.6175,                0.64342,                0.68707,                0.42905,                 1.6917,                 1.2643,                 1.7833,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.9514,                  1.659,                 1.8965,                0.70082,                0.56426,                0.69549,                0.44233,                 1.6059,                  1.255,                 1.7339,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.9435,                 1.6717,                 1.9867,                0.64874,                0.62608,                0.69325,                0.42761,                 1.6406,                 1.2898,                 1.7391,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.9223,                 1.6352,                 1.8992,                0.54697,                0.61616,                0.65216,                 0.4082,                 1.6232,                  1.322,                  1.747,               0.000557,               0.000557,               0.000557
                     58,                 1.9064,                 1.6245,                  1.902,                0.55767,                0.69541,                0.71128,                0.43717,                 1.6077,                 1.2576,                 1.7369,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.8919,                 1.6807,                 1.9201,                0.69361,                 0.6003,                0.72037,                0.45028,                 1.5762,                 1.2269,                 1.7021,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.9106,                 1.6226,                 1.9051,                0.57592,                0.67506,                0.71943,                0.40644,                 1.6516,                 1.2336,                 1.7485,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.8851,                 1.6055,                 1.8931,                0.72666,                0.58332,                0.73581,                0.42658,                 1.6108,                   1.23,                 1.7458,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.8739,                 1.6235,                 1.8991,                0.59547,                0.64324,                0.71365,                0.43214,                  1.584,                 1.2035,                 1.7586,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.8404,                 1.5308,                 1.8664,                0.54589,                0.66815,                0.70948,                0.44379,                 1.5545,                  1.205,                 1.7393,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.7789,                 1.5244,                 1.8152,                 0.7105,                0.64665,                0.73645,                0.46949,                 1.5454,                 1.1768,                 1.7051,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.7662,                 1.5301,                 1.7881,                0.67593,                0.69754,                0.73436,                0.44636,                 1.5628,                  1.163,                  1.712,               0.000458,               0.000458,               0.000458
                     66,                 1.8538,                 1.5441,                 1.8206,                0.71043,                0.62299,                0.72459,                0.45583,                 1.5524,                 1.1561,                 1.6933,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.8426,                 1.5227,                 1.8034,                0.57058,                0.70692,                0.73506,                0.48409,                 1.5054,                 1.1114,                 1.6489,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.7785,                 1.4889,                 1.7722,                0.57662,                0.70871,                  0.745,                0.48763,                 1.5069,                 1.1116,                 1.6431,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.7899,                  1.539,                 1.8078,                0.63886,                0.69003,                0.73904,                0.47467,                 1.5108,                 1.1517,                 1.6373,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.7943,                 1.5838,                 1.8382,                0.63481,                0.68403,                0.73507,                0.48025,                 1.5093,                 1.1949,                   1.65,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.7896,                 1.5583,                 1.8328,                0.62105,                 0.7054,                0.75127,                0.49371,                 1.5131,                 1.1537,                 1.6412,             0.00038375,             0.00038375,             0.00038375
