                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8449,                 5.2133,                 4.2587,                 0.0024,                    0.5,                0.00334,                0.00121,                 3.5605,                 4.3163,                 4.1604,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 3.8954,                 5.1114,                 4.2369,                0.00247,                    0.5,                0.00284,                0.00104,                 3.5585,                 4.3149,                 4.1607,             0.00018731,             0.00018731,             0.00018731
                      3,                 3.8478,                 4.8761,                 4.1886,                0.00245,                    0.5,                0.00441,                0.00134,                 3.5597,                 4.3129,                 4.1586,             0.00028693,             0.00028693,             0.00028693
                      4,                 3.8063,                 4.7487,                  4.156,                0.00247,                    0.5,                0.00865,                0.00178,                 3.5533,                 4.3089,                 4.1537,             0.00038635,             0.00038635,             0.00038635
                      5,                 3.8084,                 4.7157,                 4.0955,                0.00235,                    0.5,                0.00837,                0.00272,                 3.5452,                 4.3214,                 4.1506,             0.00048557,             0.00048557,             0.00048557
                      6,                 3.4896,                 4.2726,                 3.9961,                0.00241,                    0.5,                0.00712,                0.00211,                 3.5302,                 4.3378,                  4.153,             0.00058459,             0.00058459,             0.00058459
                      7,                 3.4454,                 4.2511,                 3.8777,                0.00246,                    0.5,                 0.0145,                0.00335,                 3.5196,                 4.1429,                 4.1483,             0.00068342,             0.00068342,             0.00068342
                      8,                 3.2931,                 4.1264,                 3.8037,                0.00119,                    0.5,                0.00638,                0.00207,                 3.5243,                 4.3037,                 4.1689,             0.00078204,             0.00078204,             0.00078204
                      9,                 3.1996,                 3.9185,                 3.6743,                0.00184,                    0.5,                0.00446,                0.00158,                 3.6345,                 4.4893,                 4.3663,             0.00088047,             0.00088047,             0.00088047
                     10,                 3.0995,                 3.9722,                 3.5793,                0.00254,                    0.5,                0.00969,                0.00331,                 3.5926,                 4.4219,                 4.3106,              0.0009787,              0.0009787,              0.0009787
                     11,                 3.1117,                 3.8084,                 3.4573,                0.00154,                  0.325,                0.01048,                 0.0031,                 3.6493,                 4.3675,                 4.2321,              0.0010767,              0.0010767,              0.0010767
                     12,                 2.8652,                 3.5164,                 3.3154,                0.00123,                 0.4125,                0.01652,                0.00342,                 3.7385,                 4.2615,                 4.0818,              0.0011746,              0.0011746,              0.0011746
                     13,                 2.9262,                 3.6319,                 3.2865,                0.00124,                    0.5,                0.01041,                0.00326,                 3.8602,                 4.3315,                 4.1787,              0.0012351,              0.0012351,              0.0012351
                     14,                 2.8603,                 3.4206,                 3.1579,                0.00201,                0.50401,                0.02412,                 0.0039,                 3.3287,                 4.0489,                 4.0816,              0.0012339,              0.0012339,              0.0012339
                     15,                 2.8628,                 3.5095,                 3.0828,                0.00473,                0.55449,                0.05631,                0.01122,                 3.0789,                 3.8856,                 3.8936,              0.0012327,              0.0012327,              0.0012327
                     16,                 2.7906,                 3.2878,                  3.033,                0.78582,                0.11029,                0.12089,                0.04201,                 3.0276,                   3.87,                 3.6717,              0.0012314,              0.0012314,              0.0012314
                     17,                  2.625,                 3.0755,                 2.9068,                0.79702,                0.18397,                0.12391,                0.03764,                 2.9295,                 6.3141,                 3.4049,              0.0012302,              0.0012302,              0.0012302
