                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 2.7059,                 3.1345,                 2.8328,                0.80343,                0.09654,                0.13489,                0.04196,                 2.6879,                  4.349,                 3.1694,               0.001229,               0.001229,               0.001229
                     19,                 2.5704,                 3.0137,                 2.8041,                0.69765,                0.17082,                0.16211,                0.05248,                 2.6345,                 3.8105,                 3.1175,              0.0012277,              0.0012277,              0.0012277
                     20,                 2.5336,                 2.8627,                 2.6751,                0.60628,                0.26588,                0.11335,                0.03746,                 2.4928,                 3.1705,                 2.9707,              0.0012265,              0.0012265,              0.0012265
                     21,                  2.556,                 2.7898,                 2.6574,                0.61247,                0.29096,                0.25691,                0.10542,                 2.2617,                 2.9463,                 2.5994,              0.0012252,              0.0012252,              0.0012252
                     22,                 2.5229,                 2.7351,                 2.6464,                0.67314,                 0.2142,                0.21284,                 0.1195,                 2.2412,                 2.5941,                 2.4594,               0.001224,               0.001224,               0.001224
                     23,                 2.5114,                 2.7479,                 2.5911,                0.70547,                0.20105,                0.16283,                 0.0892,                  2.275,                 2.4213,                 2.4153,              0.0012228,              0.0012228,              0.0012228
                     24,                 2.5076,                 2.6361,                 2.5571,                0.64599,                0.24976,                0.18213,                0.08096,                 2.2776,                 2.4056,                 2.4196,              0.0012215,              0.0012215,              0.0012215
                     25,                 2.4614,                 2.6112,                 2.4446,                0.69435,                0.25698,                0.27927,                0.12459,                  2.282,                 2.3548,                 2.3859,              0.0012203,              0.0012203,              0.0012203
                     26,                 2.3993,                  2.485,                 2.4238,                0.76586,                0.22478,                0.39897,                0.18029,                 2.1795,                 2.2592,                 2.2477,              0.0012191,              0.0012191,              0.0012191
                     27,                 2.3666,                  2.454,                 2.3447,                0.75938,                 0.2187,                0.42296,                0.19404,                 2.1348,                 2.2175,                 2.1737,              0.0012178,              0.0012178,              0.0012178
                     28,                 2.3619,                 2.4222,                 2.3692,                0.73117,                0.23231,                0.38994,                0.18538,                 2.0885,                 2.5974,                 2.0867,              0.0012166,              0.0012166,              0.0012166
                     29,                 2.3415,                 2.4324,                 2.3354,                0.75671,                0.23371,                0.36606,                0.16213,                 2.1849,                 2.7968,                 2.1784,              0.0012154,              0.0012154,              0.0012154
                     30,                 2.3376,                 2.2816,                 2.3304,                0.77469,                0.26004,                0.39463,                0.18722,                 2.0384,                 2.3926,                 2.0637,              0.0012141,              0.0012141,              0.0012141
                     31,                  2.271,                 2.3169,                 2.3472,                0.56189,                0.43553,                0.42502,                0.20118,                 2.0467,                 2.0049,                 2.0481,              0.0012129,              0.0012129,              0.0012129
                     32,                 2.2879,                 2.2218,                 2.2729,                0.58737,                0.38292,                0.36172,                0.18207,                 1.9583,                 1.9994,                 2.0001,              0.0012116,              0.0012116,              0.0012116
                     33,                   2.29,                 2.1612,                 2.2645,                0.65758,                0.38983,                0.40098,                0.20917,                 1.9729,                 1.9789,                 1.9871,              0.0012104,              0.0012104,              0.0012104
                     34,                 2.2865,                  2.238,                 2.2683,                 0.6903,                0.40793,                0.47998,                0.21867,                 2.0297,                 1.9147,                 2.0121,              0.0012092,              0.0012092,              0.0012092
                     35,                 2.2081,                 2.1236,                  2.195,                0.61009,                0.41748,                0.48952,                0.24445,                 2.0338,                 1.8087,                 2.0243,              0.0012079,              0.0012079,              0.0012079
                     36,                 2.2618,                 2.1452,                 2.2656,                0.39756,                0.53143,                0.50944,                0.23926,                 1.9829,                 1.7347,                 1.9728,              0.0012067,              0.0012067,              0.0012067
                     37,                 2.2117,                 2.0396,                 2.1195,                0.61945,                0.57758,                0.53768,                0.23873,                 1.9771,                 1.8926,                 1.9516,              0.0012055,              0.0012055,              0.0012055
                     38,                 2.1377,                 1.9514,                 2.1169,                0.40619,                0.57183,                0.50533,                0.26109,                 2.0309,                 1.8344,                 1.9591,              0.0012042,              0.0012042,              0.0012042
                     39,                 2.2144,                 2.0296,                 2.1201,                0.36938,                 0.5013,                0.47783,                0.24603,                  1.926,                 1.5953,                 1.9211,               0.001203,               0.001203,               0.001203
                     40,                  2.096,                 1.9931,                 2.0591,                 0.4811,                0.62672,                0.50828,                0.27088,                 1.8964,                 1.7603,                 1.9102,              0.0012017,              0.0012017,              0.0012017
                     41,                 2.1258,                 1.9451,                 2.1042,                0.46745,                0.62311,                0.48858,                0.24954,                 1.8739,                 1.9563,                 1.9074,              0.0012005,              0.0012005,              0.0012005
                     42,                  2.098,                 1.9283,                 2.0409,                0.54473,                0.65125,                0.52409,                0.29213,                 1.9737,                 1.7306,                 1.9664,              0.0011993,              0.0011993,              0.0011993
                     43,                 2.0525,                 1.9113,                 2.0675,                0.60439,                0.54782,                0.58347,                0.34655,                 1.8734,                 1.6276,                 1.8699,               0.001198,               0.001198,               0.001198
                     44,                 2.0266,                 1.8604,                 1.9758,                 0.6456,                0.58017,                0.63158,                0.32356,                 1.7992,                 1.5626,                 1.8093,              0.0011968,              0.0011968,              0.0011968
                     45,                 1.9885,                 1.7695,                 1.9686,                0.40582,                0.56549,                0.52029,                 0.2649,                 1.8973,                 1.6272,                 1.8588,              0.0011955,              0.0011955,              0.0011955
                     46,                 2.0281,                 1.7871,                 2.0168,                0.58828,                0.54642,                0.57522,                0.30017,                 1.8107,                 1.4217,                 1.8109,              0.0011943,              0.0011943,              0.0011943
                     47,                  2.052,                 1.7656,                 1.9461,                 0.6378,                0.52005,                0.53794,                0.30916,                 1.8377,                 1.5159,                 1.8465,              0.0011931,              0.0011931,              0.0011931
                     48,                 1.9736,                 1.7593,                 1.9607,                0.65995,                0.47441,                0.58495,                0.32407,                 1.7832,                 1.6156,                 1.8115,              0.0011918,              0.0011918,              0.0011918
                     49,                 2.0166,                 1.7706,                 1.9227,                0.54632,                0.68087,                0.63321,                0.37468,                 1.7772,                 1.4726,                 1.7767,              0.0011906,              0.0011906,              0.0011906
                     50,                 1.9345,                  1.711,                 1.8793,                0.52542,                 0.6099,                0.60135,                0.33641,                 1.7412,                 1.3989,                 1.7532,              0.0011894,              0.0011894,              0.0011894
                     51,                 1.9788,                  1.631,                  1.899,                0.78319,                0.44619,                0.63298,                  0.398,                 1.6965,                 1.2929,                 1.7462,              0.0011881,              0.0011881,              0.0011881
                     52,                 1.9288,                 1.6881,                 1.9484,                0.50133,                0.61456,                0.66908,                0.38872,                 1.7642,                 1.3342,                 1.7998,              0.0011869,              0.0011869,              0.0011869
                     53,                 1.9068,                 1.6421,                 1.9193,                0.53021,                0.63635,                 0.6664,                 0.3732,                 1.6559,                 1.3385,                 1.7354,              0.0011856,              0.0011856,              0.0011856
                     54,                  1.932,                 1.6052,                 1.9133,                0.70654,                0.44365,                0.62306,                0.33615,                 1.7141,                 1.4557,                 1.7346,              0.0011844,              0.0011844,              0.0011844
                     55,                 1.9142,                 1.6228,                 1.8305,                0.73142,                0.49172,                0.66672,                0.41278,                 1.6584,                 1.3537,                  1.672,              0.0011832,              0.0011832,              0.0011832
                     56,                 1.9182,                 1.6563,                 1.9077,                0.61084,                0.62488,                0.68024,                0.39721,                 1.7228,                  1.316,                 1.7321,              0.0011819,              0.0011819,              0.0011819
                     57,                 1.9196,                 1.6049,                 1.8501,                0.55015,                0.61169,                0.66789,                0.37698,                 1.7187,                 1.3421,                 1.7226,              0.0011807,              0.0011807,              0.0011807
                     58,                 1.8939,                 1.5805,                 1.8699,                0.80755,                0.45195,                 0.6576,                0.34294,                 1.7745,                 1.3433,                 1.7682,              0.0011795,              0.0011795,              0.0011795
                     59,                 1.8557,                 1.6298,                 1.8653,                 0.6692,                0.54534,                0.59972,                0.32723,                 1.7026,                 1.3066,                 1.7626,              0.0011782,              0.0011782,              0.0011782
                     60,                 1.9059,                 1.5536,                 1.8498,                0.57703,                 0.6378,                0.62963,                0.29772,                 1.7242,                 1.4758,                 1.7737,               0.001177,               0.001177,               0.001177
                     61,                 1.8437,                 1.5488,                 1.8244,                0.52725,                0.70308,                0.66595,                0.34384,                 1.6295,                  1.386,                  1.669,              0.0011757,              0.0011757,              0.0011757
                     62,                 1.8436,                 1.5608,                 1.8503,                0.73475,                 0.5442,                0.61818,                0.37893,                 1.5657,                 1.3354,                 1.6536,              0.0011745,              0.0011745,              0.0011745
                     63,                  1.797,                 1.5301,                 1.8051,                  0.671,                0.64953,                0.69949,                0.40749,                 1.6057,                 1.3286,                 1.6629,              0.0011733,              0.0011733,              0.0011733
                     64,                 1.7874,                 1.4876,                 1.7703,                  0.563,                0.70752,                0.71043,                0.41039,                 1.5326,                 2.1242,                 1.6107,               0.001172,               0.001172,               0.001172
                     65,                 1.7501,                  1.483,                 1.7231,                0.65056,                0.67985,                0.72808,                 0.4402,                 1.5312,                 1.4263,                 1.5962,              0.0011708,              0.0011708,              0.0011708
                     66,                 1.8512,                 1.4913,                 1.7839,                0.59579,                0.72225,                0.70973,                0.42033,                 1.6126,                  1.175,                 1.6461,              0.0011696,              0.0011696,              0.0011696
                     67,                 1.8362,                 1.4937,                 1.7645,                0.62057,                0.64544,                0.69616,                0.39387,                 1.5627,                 1.1619,                  1.621,              0.0011683,              0.0011683,              0.0011683
                     68,                 1.7289,                 1.4321,                  1.716,                0.53762,                0.74079,                0.72597,                0.44641,                 1.5342,                 1.1265,                  1.601,              0.0011671,              0.0011671,              0.0011671
                     69,                 1.7071,                 1.4452,                 1.7146,                 0.5283,                0.70154,                0.69205,                0.44131,                 1.5223,                  1.177,                 1.6034,              0.0011658,              0.0011658,              0.0011658
                     70,                 1.7966,                 1.5283,                 1.7882,                0.53252,                0.72437,                0.71088,                0.46341,                 1.5659,                 1.2236,                 1.5998,              0.0011646,              0.0011646,              0.0011646
                     71,                 1.7628,                  1.488,                  1.771,                0.61078,                 0.6844,                0.71498,                0.44205,                 1.5047,                 1.1314,                 1.5737,              0.0011634,              0.0011634,              0.0011634
                     72,                  1.773,                 1.4718,                 1.7568,                0.53074,                 0.7412,                0.71213,                0.43146,                 1.5393,                 1.2034,                 1.6129,              0.0011621,              0.0011621,              0.0011621
                     73,                 1.6894,                 1.4133,                 1.7172,                0.68737,                0.76796,                0.77483,                0.48088,                 1.5171,                 1.2249,                  1.594,              0.0011609,              0.0011609,              0.0011609
                     74,                 1.7023,                 1.4087,                 1.6993,                0.67703,                0.79749,                0.78956,                0.50207,                 1.5148,                 1.1439,                 1.5807,              0.0011597,              0.0011597,              0.0011597
                     75,                 1.7477,                 1.4128,                 1.7242,                0.63697,                0.76102,                0.78556,                 0.4877,                 1.5018,                 1.1119,                 1.5736,              0.0011584,              0.0011584,              0.0011584
                     76,                 1.6689,                  1.396,                 1.6901,                0.70227,                0.70627,                0.74256,                0.46042,                 1.4908,                   1.13,                 1.5733,              0.0011572,              0.0011572,              0.0011572
                     77,                 1.6975,                 1.3006,                 1.6563,                0.66402,                0.83237,                 0.7921,                0.48215,                 1.4993,                 1.1606,                 1.5584,              0.0011559,              0.0011559,              0.0011559
                     78,                 1.7166,                 1.3489,                 1.6735,                 0.5466,                0.79426,                 0.7886,                0.48453,                 1.4639,                 1.3048,                 1.5392,              0.0011547,              0.0011547,              0.0011547
                     79,                 1.6695,                 1.4009,                 1.6794,                0.65918,                0.77769,                0.79427,                 0.5039,                 1.4549,                 1.1498,                 1.5362,              0.0011535,              0.0011535,              0.0011535
                     80,                 1.6982,                  1.364,                 1.6565,                0.72299,                0.76939,                0.78108,                0.47294,                  1.527,                 1.1288,                 1.5861,              0.0011522,              0.0011522,              0.0011522
                     81,                 1.6893,                 1.3666,                 1.6941,                0.62506,                0.72508,                 0.7791,                0.49681,                 1.5346,                 1.0883,                 1.5908,               0.001151,               0.001151,               0.001151
                     82,                 1.6475,                 1.2778,                 1.6479,                0.63102,                 0.7425,                0.78209,                0.50254,                 1.5036,                 1.1241,                 1.5507,              0.0011498,              0.0011498,              0.0011498
                     83,                 1.5746,                 1.2724,                 1.6193,                0.64004,                  0.724,                0.78266,                0.53142,                 1.4108,                 1.0531,                 1.5131,              0.0011485,              0.0011485,              0.0011485
                     84,                 1.6648,                 1.2704,                 1.6273,                0.60572,                0.74955,                0.74219,                0.48714,                 1.4423,                 1.0933,                 1.5516,              0.0011473,              0.0011473,              0.0011473
                     85,                 1.6332,                 1.3117,                 1.6162,                0.67782,                 0.6916,                0.71659,                0.44464,                 1.4476,                 1.0904,                 1.5568,              0.0011461,              0.0011461,              0.0011461
                     86,                 1.6246,                 1.2948,                 1.6002,                0.71866,                0.61781,                0.74227,                0.47182,                  1.427,                 1.0745,                 1.5322,              0.0011448,              0.0011448,              0.0011448
                     87,                 1.5968,                 1.2836,                 1.6403,                0.64309,                0.82409,                0.79714,                0.53795,                 1.4152,                 1.1547,                 1.5007,              0.0011436,              0.0011436,              0.0011436
                     88,                 1.6499,                 1.3102,                 1.6483,                0.70094,                0.80172,                0.80689,                0.51631,                 1.4249,                 1.0549,                 1.5065,              0.0011423,              0.0011423,              0.0011423
                     89,                 1.6266,                  1.265,                 1.6541,                 0.7252,                0.68043,                 0.7857,                0.47374,                 1.4454,                 1.0707,                 1.5197,              0.0011411,              0.0011411,              0.0011411
                     90,                 1.5785,                 1.2644,                 1.6065,                0.75284,                0.65488,                0.77955,                0.47585,                 1.3989,                 1.0587,                 1.4977,              0.0011399,              0.0011399,              0.0011399
                     91,                 1.5356,                 1.2376,                 1.5868,                0.68724,                0.75601,                0.79952,                0.46608,                  1.495,                 1.0316,                 1.5618,              0.0011386,              0.0011386,              0.0011386
                     92,                 1.6424,                 1.2989,                 1.6013,                0.69765,                0.77437,                0.80615,                0.45095,                 1.5835,                 1.0603,                 1.6178,              0.0011374,              0.0011374,              0.0011374
                     93,                 1.6989,                 1.3444,                 1.6471,                0.76152,                 0.8037,                0.84254,                0.52793,                 1.4397,                 1.1789,                 1.5143,              0.0011362,              0.0011362,              0.0011362
                     94,                 1.5988,                 1.2685,                 1.5363,                0.66845,                0.78445,                0.79878,                0.47425,                 1.5262,                 1.3588,                    1.6,              0.0011349,              0.0011349,              0.0011349
                     95,                 1.6085,                 1.2574,                 1.6494,                0.78184,                 0.7722,                0.84357,                0.56084,                  1.447,                  1.044,                 1.4879,              0.0011337,              0.0011337,              0.0011337
                     96,                 1.5498,                 1.2023,                 1.5655,                0.79752,                0.76331,                0.84239,                 0.5314,                 1.3984,                  1.015,                 1.4819,              0.0011324,              0.0011324,              0.0011324
                     97,                 1.5831,                 1.2693,                 1.5877,                0.72671,                0.76556,                0.82813,                0.51035,                 1.4669,                 1.0942,                 1.5392,              0.0011312,              0.0011312,              0.0011312
                     98,                 1.6031,                 1.2218,                 1.5644,                0.76324,                0.79445,                0.85955,                0.57478,                 1.3819,                0.97436,                 1.4444,                0.00113,                0.00113,                0.00113
                     99,                  1.559,                 1.2122,                 1.5645,                0.83143,                0.68606,                0.87015,                0.58228,                 1.4182,                 1.0162,                 1.4684,              0.0011287,              0.0011287,              0.0011287
                    100,                  1.587,                  1.234,                 1.5785,                0.71947,                0.68018,                0.81261,                0.54985,                  1.359,                 1.0192,                 1.4558,              0.0011275,              0.0011275,              0.0011275
                    101,                 1.5113,                 1.1807,                 1.5165,                0.71398,                0.78697,                0.81572,                0.52047,                 1.4521,                 1.0338,                 1.5087,              0.0011263,              0.0011263,              0.0011263
                    102,                 1.5947,                 1.2598,                 1.6421,                0.78556,                0.78165,                0.85903,                0.58069,                 1.3273,                 0.9366,                 1.4379,               0.001125,               0.001125,               0.001125
                    103,                 1.5048,                 1.2125,                  1.529,                0.72256,                0.82036,                0.85977,                0.51192,                 1.4223,                 1.1276,                 1.4863,              0.0011238,              0.0011238,              0.0011238
                    104,                 1.5755,                 1.2171,                 1.5351,                0.65246,                0.79225,                0.82167,                0.46441,                 1.4223,                 1.1191,                 1.5196,              0.0011225,              0.0011225,              0.0011225
                    105,                 1.5287,                 1.2464,                 1.5957,                0.72874,                0.81918,                0.86671,                0.56769,                 1.3653,                0.99191,                 1.4511,              0.0011213,              0.0011213,              0.0011213
                    106,                 1.4759,                 1.1412,                 1.4976,                0.66704,                 0.8601,                 0.8583,                0.58686,                 1.3235,                0.94643,                 1.4249,              0.0011201,              0.0011201,              0.0011201
                    107,                 1.4995,                 1.1203,                 1.4779,                0.74447,                0.82219,                0.86636,                 0.6001,                 1.3133,                0.92048,                 1.3937,              0.0011188,              0.0011188,              0.0011188
                    108,                 1.5194,                 1.1062,                 1.4907,                0.80652,                0.70132,                0.86317,                0.56515,                 1.3322,                0.96608,                 1.4203,              0.0011176,              0.0011176,              0.0011176
                    109,                 1.4926,                 1.1679,                 1.5367,                0.72516,                0.85069,                0.88164,                0.61436,                 1.3129,                0.93893,                 1.4191,              0.0011164,              0.0011164,              0.0011164
                    110,                 1.4787,                 1.1274,                 1.5112,                0.68275,                0.85303,                0.90107,                0.64547,                 1.2651,                 1.1761,                 1.3912,              0.0011151,              0.0011151,              0.0011151
                    111,                 1.4934,                 1.1515,                 1.4846,                0.77407,                0.82747,                0.90926,                0.58707,                  1.485,                 1.0818,                 1.5043,              0.0011139,              0.0011139,              0.0011139
                    112,                 1.5352,                 1.1881,                 1.5507,                0.73927,                0.84065,                0.88592,                0.60176,                 1.3484,                0.99182,                  1.424,              0.0011126,              0.0011126,              0.0011126
                    113,                 1.4465,                 1.1143,                  1.497,                0.80742,                0.79837,                0.89487,                0.64373,                 1.2791,                 1.0427,                 1.3776,              0.0011114,              0.0011114,              0.0011114
                    114,                 1.4374,                 1.1232,                 1.5142,                0.77498,                0.82579,                0.87438,                0.61167,                 1.2808,                 1.0477,                 1.3918,              0.0011102,              0.0011102,              0.0011102
                    115,                 1.4844,                  1.127,                 1.4771,                0.78455,                 0.8319,                0.85665,                0.60685,                 1.2297,                0.99406,                 1.3579,              0.0011089,              0.0011089,              0.0011089
                    116,                 1.4238,                 1.0953,                 1.4736,                0.77882,                 0.7674,                 0.8528,                0.60391,                 1.3051,                0.96061,                 1.4306,              0.0011077,              0.0011077,              0.0011077
                    117,                 1.4559,                 1.1203,                 1.5088,                0.82167,                0.79707,                 0.8916,                0.62802,                 1.2848,                0.92463,                 1.4152,              0.0011065,              0.0011065,              0.0011065
                    118,                 1.4294,                 1.0791,                 1.4575,                0.76302,                0.77173,                0.88439,                0.58344,                   1.32,                 1.0206,                 1.4554,              0.0011052,              0.0011052,              0.0011052
                    119,                 1.4494,                 1.1286,                 1.5015,                0.79907,                0.84869,                0.88564,                0.60469,                 1.2998,                0.93587,                 1.3963,               0.001104,               0.001104,               0.001104
                    120,                 1.4386,                 1.0713,                 1.4719,                0.72002,                0.89926,                0.88448,                0.62596,                 1.2606,                0.96001,                 1.3472,              0.0011027,              0.0011027,              0.0011027
                    121,                 1.5064,                  1.169,                 1.5013,                0.79938,                0.83964,                  0.888,                0.61239,                 1.2976,                0.91829,                 1.3868,              0.0011015,              0.0011015,              0.0011015
                    122,                  1.512,                 1.1421,                 1.4677,                0.79411,                0.85736,                0.91226,                0.59263,                 1.3321,                0.93005,                  1.423,              0.0011003,              0.0011003,              0.0011003
                    123,                 1.4461,                 1.1279,                 1.4757,                0.81299,                0.83444,                0.91039,                0.63272,                 1.3145,                 0.9301,                 1.4175,               0.001099,               0.001099,               0.001099
                    124,                 1.4885,                 1.0777,                 1.4728,                0.81297,                0.82044,                0.86988,                0.60653,                 1.3151,                0.90852,                 1.4126,              0.0010978,              0.0010978,              0.0010978
                    125,                 1.4236,                 1.0724,                 1.4517,                0.78757,                  0.885,                0.89771,                 0.6594,                 1.2672,                0.87252,                 1.3735,              0.0010965,              0.0010965,              0.0010965
                    126,                 1.4562,                 1.0885,                 1.5058,                0.74925,                0.88899,                0.89114,                0.64283,                 1.3111,                 0.9217,                 1.3728,              0.0010953,              0.0010953,              0.0010953
                    127,                 1.4324,                   1.09,                 1.4571,                0.77606,                0.87233,                0.90514,                0.65752,                 1.2995,                0.85733,                 1.3876,              0.0010941,              0.0010941,              0.0010941
                    128,                  1.366,                 1.0505,                 1.3803,                 0.8055,                0.72213,                0.88113,                0.63453,                 1.2607,                0.89994,                 1.3508,              0.0010928,              0.0010928,              0.0010928
                    129,                 1.3639,                 1.0229,                 1.3843,                0.82111,                0.81495,                0.91439,                0.67032,                 1.2305,                0.84314,                 1.3382,              0.0010916,              0.0010916,              0.0010916
                    130,                  1.416,                 1.0807,                 1.4944,                0.85622,                0.84876,                0.90006,                 0.6632,                 1.2069,                0.85538,                 1.3347,              0.0010904,              0.0010904,              0.0010904
                    131,                 1.4115,                 1.0793,                  1.433,                0.83673,                0.86455,                0.91849,                0.67631,                 1.2103,                0.85233,                 1.3387,              0.0010891,              0.0010891,              0.0010891
                    132,                 1.4654,                 1.1042,                 1.5159,                0.80549,                0.90962,                0.91955,                0.66492,                 1.2423,                0.86823,                  1.351,              0.0010879,              0.0010879,              0.0010879
                    133,                 1.3881,                 1.0332,                 1.4289,                0.84777,                0.88461,                0.91558,                0.65588,                 1.2682,                0.85883,                 1.3593,              0.0010866,              0.0010866,              0.0010866
